"","lake_ID","age_sky","sample_start_depth","proxy_ID","response"
"270","TheLoch",1977.86440677966,2.25,"del15N_zscore",-0.846940089278621
"271","TheLoch",1973.62711864407,2.5,"percC",6.95
"272","TheLoch",1973.62711864407,2.5,"percN",0.51
"273","TheLoch",1973.62711864407,2.5,"CN",16.03
"274","TheLoch",1973.62711864407,2.5,"del13C",-23.78
"275","TheLoch",1973.62711864407,2.5,"del15N",3.5
"276","TheLoch",1973.62711864407,2.5,"fuco",44.2
"277","TheLoch",1973.62711864407,2.5,"oscil",0
"278","TheLoch",1973.62711864407,2.5,"aphan",49.4
"279","TheLoch",1973.62711864407,2.5,"diadino",12.5
"280","TheLoch",1973.62711864407,2.5,"myxo",26.6
"281","TheLoch",1973.62711864407,2.5,"allo",36
"282","TheLoch",1973.62711864407,2.5,"diato",466.7
"283","TheLoch",1973.62711864407,2.5,"lutein",258.2
"284","TheLoch",1973.62711864407,2.5,"cantha",27.7
"285","TheLoch",1973.62711864407,2.5,"b_car",310.2
"286","TheLoch",1973.62711864407,2.5,"chl_ap",86.4
"287","TheLoch",1973.62711864407,2.5,"echine",28.2
"288","TheLoch",1973.62711864407,2.5,"pheo_a",536.5
"289","TheLoch",1973.62711864407,2.5,"phaeo_b",278.4
"290","TheLoch",1973.62711864407,2.5,"chla_pheoa",837.8
"291","TheLoch",1973.62711864407,2.5,"chlb_pheob",579.7
"292","TheLoch",1973.62711864407,2.5,"PI",0.561602982292637
"293","TheLoch",1973.62711864407,2.5,"UVR_index",0
"294","TheLoch",1973.62711864407,2.5,"all_chl",924.2
"295","TheLoch",1973.62711864407,2.5,"all_diat",479.2
"296","TheLoch",1973.62711864407,2.5,"AD_ratio",0.0771373473323334
"297","TheLoch",1973.62711864407,2.5,"master_chl",0.36314212803728
"298","TheLoch",1973.62711864407,2.5,"perc_chlb",0.518918918918919
"299","TheLoch",1973.62711864407,2.5,"perc_diatox",0.557054189544044
"300","TheLoch",1973.62711864407,2.5,"del15N_zscore",-0.399409246648441
"301","TheLoch",1969.38983050847,2.75,"percC",6.81
"302","TheLoch",1969.38983050847,2.75,"percN",0.54
"303","TheLoch",1969.38983050847,2.75,"CN",14.71
"304","TheLoch",1969.38983050847,2.75,"del13C",-23.5
"305","TheLoch",1969.38983050847,2.75,"del15N",3.43
"306","TheLoch",1969.38983050847,2.75,"fuco",58.7
"307","TheLoch",1969.38983050847,2.75,"oscil",0
"308","TheLoch",1969.38983050847,2.75,"aphan",26.7
"309","TheLoch",1969.38983050847,2.75,"diadino",15.6
"310","TheLoch",1969.38983050847,2.75,"myxo",28.6
"311","TheLoch",1969.38983050847,2.75,"allo",36.4
"312","TheLoch",1969.38983050847,2.75,"diato",524.7
"313","TheLoch",1969.38983050847,2.75,"lutein",269.8
"314","TheLoch",1969.38983050847,2.75,"cantha",47.9
"315","TheLoch",1969.38983050847,2.75,"b_car",336.2
"316","TheLoch",1969.38983050847,2.75,"chl_ap",96.4
"317","TheLoch",1969.38983050847,2.75,"echine",26.4
"318","TheLoch",1969.38983050847,2.75,"pheo_a",581.1
"319","TheLoch",1969.38983050847,2.75,"phaeo_b",300.2
"320","TheLoch",1969.38983050847,2.75,"chla_pheoa",905.5
"321","TheLoch",1969.38983050847,2.75,"chlb_pheob",624.6
"322","TheLoch",1969.38983050847,2.75,"PI",0.558251591808639
"323","TheLoch",1969.38983050847,2.75,"UVR_index",0
"324","TheLoch",1969.38983050847,2.75,"all_chl",1001.9
"325","TheLoch",1969.38983050847,2.75,"all_diat",540.3
"326","TheLoch",1969.38983050847,2.75,"AD_ratio",0.0693729750333524
"327","TheLoch",1969.38983050847,2.75,"master_chl",0.35573284238519
"328","TheLoch",1969.38983050847,2.75,"perc_chlb",0.516606436069523
"329","TheLoch",1969.38983050847,2.75,"perc_diatox",0.579458862506902
"330","TheLoch",1969.38983050847,2.75,"del15N_zscore",-0.52993907574891
"331","TheLoch",1965.15254237288,3,"percC",8.38
"332","TheLoch",1965.15254237288,3,"percN",0.56
"333","TheLoch",1965.15254237288,3,"CN",17.34
"334","TheLoch",1965.15254237288,3,"del13C",-23.84
"335","TheLoch",1965.15254237288,3,"del15N",3.37
"336","TheLoch",1965.15254237288,3,"fuco",39.2
"337","TheLoch",1965.15254237288,3,"oscil",0
"338","TheLoch",1965.15254237288,3,"aphan",17.3
"339","TheLoch",1965.15254237288,3,"diadino",9.5
"340","TheLoch",1965.15254237288,3,"myxo",21.4
"341","TheLoch",1965.15254237288,3,"allo",33.9
"342","TheLoch",1965.15254237288,3,"diato",480.3
"343","TheLoch",1965.15254237288,3,"lutein",237.7
"344","TheLoch",1965.15254237288,3,"cantha",21.2
"345","TheLoch",1965.15254237288,3,"b_car",281.5
"346","TheLoch",1965.15254237288,3,"chl_ap",72
"347","TheLoch",1965.15254237288,3,"echine",22.8
"348","TheLoch",1965.15254237288,3,"pheo_a",454.5
"349","TheLoch",1965.15254237288,3,"phaeo_b",234.9
"350","TheLoch",1965.15254237288,3,"chla_pheoa",687.1
"351","TheLoch",1965.15254237288,3,"chlb_pheob",467.5
"352","TheLoch",1965.15254237288,3,"PI",0.511771177117712
"353","TheLoch",1965.15254237288,3,"UVR_index",0
"354","TheLoch",1965.15254237288,3,"all_chl",759.1
"355","TheLoch",1965.15254237288,3,"all_diat",489.8
"356","TheLoch",1965.15254237288,3,"AD_ratio",0.070580886945659
"357","TheLoch",1965.15254237288,3,"master_chl",0.324665090622537
"358","TheLoch",1965.15254237288,3,"perc_chlb",0.516831683168317
"359","TheLoch",1965.15254237288,3,"perc_diatox",0.699024887207102
"360","TheLoch",1965.15254237288,3,"del15N_zscore",-0.641821786406455
"361","TheLoch",1960.91525423729,3.25,"percC",7.84
"362","TheLoch",1960.91525423729,3.25,"percN",0.58
"363","TheLoch",1960.91525423729,3.25,"CN",15.72
"364","TheLoch",1960.91525423729,3.25,"del13C",-23.65
"365","TheLoch",1960.91525423729,3.25,"del15N",3.41
"366","TheLoch",1960.91525423729,3.25,"fuco",54.2
"367","TheLoch",1960.91525423729,3.25,"oscil",0
"368","TheLoch",1960.91525423729,3.25,"aphan",18.9
"369","TheLoch",1960.91525423729,3.25,"diadino",13.3
"370","TheLoch",1960.91525423729,3.25,"myxo",27
"371","TheLoch",1960.91525423729,3.25,"allo",35.1
"372","TheLoch",1960.91525423729,3.25,"diato",492
"373","TheLoch",1960.91525423729,3.25,"lutein",252.8
"374","TheLoch",1960.91525423729,3.25,"cantha",23.9
"375","TheLoch",1960.91525423729,3.25,"b_car",230
"376","TheLoch",1960.91525423729,3.25,"chl_ap",82.8
"377","TheLoch",1960.91525423729,3.25,"echine",20.1
"378","TheLoch",1960.91525423729,3.25,"pheo_a",467.9
"379","TheLoch",1960.91525423729,3.25,"phaeo_b",258
"380","TheLoch",1960.91525423729,3.25,"chla_pheoa",774.7
"381","TheLoch",1960.91525423729,3.25,"chlb_pheob",564.8
"382","TheLoch",1960.91525423729,3.25,"PI",0.655695661466125
"383","TheLoch",1960.91525423729,3.25,"UVR_index",0
"384","TheLoch",1960.91525423729,3.25,"all_chl",857.5
"385","TheLoch",1960.91525423729,3.25,"all_diat",505.3
"386","TheLoch",1960.91525423729,3.25,"AD_ratio",0.0713414634146342
"387","TheLoch",1960.91525423729,3.25,"master_chl",0.39507852108322
"388","TheLoch",1960.91525423729,3.25,"perc_chlb",0.551399871767472
"389","TheLoch",1960.91525423729,3.25,"perc_diatox",0.635084548857622
"390","TheLoch",1960.91525423729,3.25,"del15N_zscore",-0.567233312634758
"391","TheLoch",1956.67796610169,3.5,"percC",7.2
"392","TheLoch",1956.67796610169,3.5,"percN",0.51
"393","TheLoch",1956.67796610169,3.5,"CN",16.58
"394","TheLoch",1956.67796610169,3.5,"del13C",-23.66
"395","TheLoch",1956.67796610169,3.5,"del15N",3.68
"396","TheLoch",1956.67796610169,3.5,"fuco",41.9
"397","TheLoch",1956.67796610169,3.5,"oscil",0
"398","TheLoch",1956.67796610169,3.5,"aphan",5.7
"399","TheLoch",1956.67796610169,3.5,"diadino",9.9
"400","TheLoch",1956.67796610169,3.5,"myxo",22.3
"401","TheLoch",1956.67796610169,3.5,"allo",34.4
"402","TheLoch",1956.67796610169,3.5,"diato",545.4
"403","TheLoch",1956.67796610169,3.5,"lutein",261.1
"404","TheLoch",1956.67796610169,3.5,"cantha",21.4
"405","TheLoch",1956.67796610169,3.5,"b_car",367
"406","TheLoch",1956.67796610169,3.5,"chl_ap",85.6
"407","TheLoch",1956.67796610169,3.5,"echine",26.6
"408","TheLoch",1956.67796610169,3.5,"pheo_a",514.4
"409","TheLoch",1956.67796610169,3.5,"phaeo_b",261
"410","TheLoch",1956.67796610169,3.5,"chla_pheoa",764.4
"411","TheLoch",1956.67796610169,3.5,"chlb_pheob",511
"412","TheLoch",1956.67796610169,3.5,"PI",0.486003110419907
"413","TheLoch",1956.67796610169,3.5,"UVR_index",0
"414","TheLoch",1956.67796610169,3.5,"all_chl",850
"415","TheLoch",1956.67796610169,3.5,"all_diat",555.3
"416","TheLoch",1956.67796610169,3.5,"AD_ratio",0.0630729739640631
"417","TheLoch",1956.67796610169,3.5,"master_chl",0.300116144018583
"418","TheLoch",1956.67796610169,3.5,"perc_chlb",0.507387247278383
"419","TheLoch",1956.67796610169,3.5,"perc_diatox",0.713500784929356
"420","TheLoch",1956.67796610169,3.5,"del15N_zscore",-0.0637611146758052
"421","TheLoch",1952.4406779661,3.75,"percC",7.9
"422","TheLoch",1952.4406779661,3.75,"percN",0.56
"423","TheLoch",1952.4406779661,3.75,"CN",16.52
"424","TheLoch",1952.4406779661,3.75,"del13C",-23.73
"425","TheLoch",1952.4406779661,3.75,"del15N",3.87
"426","TheLoch",1952.4406779661,3.75,"fuco",21.4
"427","TheLoch",1952.4406779661,3.75,"oscil",0
"428","TheLoch",1952.4406779661,3.75,"aphan",2.8
"429","TheLoch",1952.4406779661,3.75,"diadino",10.7
"430","TheLoch",1952.4406779661,3.75,"myxo",17
"431","TheLoch",1952.4406779661,3.75,"allo",32.6
"432","TheLoch",1952.4406779661,3.75,"diato",601.4
"433","TheLoch",1952.4406779661,3.75,"lutein",258
"434","TheLoch",1952.4406779661,3.75,"cantha",17.8
"435","TheLoch",1952.4406779661,3.75,"b_car",357
"436","TheLoch",1952.4406779661,3.75,"chl_ap",75.8
"437","TheLoch",1952.4406779661,3.75,"echine",32.4
"438","TheLoch",1952.4406779661,3.75,"pheo_a",440.8
"439","TheLoch",1952.4406779661,3.75,"phaeo_b",193
"440","TheLoch",1952.4406779661,3.75,"chla_pheoa",616.2
"441","TheLoch",1952.4406779661,3.75,"chlb_pheob",368.4
"442","TheLoch",1952.4406779661,3.75,"PI",0.397912885662432
"443","TheLoch",1952.4406779661,3.75,"UVR_index",0
"444","TheLoch",1952.4406779661,3.75,"all_chl",692
"445","TheLoch",1952.4406779661,3.75,"all_diat",612.1
"446","TheLoch",1952.4406779661,3.75,"AD_ratio",0.0542068506817426
