lake_ID,age,percent_C,percent_N,CN_ratio,del13C,del15N,fucoxanthin,diadinoxanthin,myxoxanthophyll,alloxanthin,diatoxanthin,lutein,canthaxanthin,beta_carotene,echinenone,pheo_a,pheo_b,chla_pheo,chlb_pheo
TheLoch,1787,6.91,0.5,16.14,-23.35,4.4,8.7,4.7,15.2,42.7,668.3,298.3,21.8,391.9,40.6,332.7,172.8,460.8,300.9
TheLoch,1813,6.76,0.49,16.04,-23.24,4.19,2.2,5.1,7.9,22.8,582.4,233.9,8.4,366.3,17.2,388.8,190.8,527.4,329.4
TheLoch,1859,7.02,0.5,16.34,-23.78,4.36,12.6,4.6,16.2,39.5,706.1,294.9,17.2,425.3,28.7,409.5,232.1,580.9,403.5
TheLoch,1868,7.25,0.53,16.11,-23.43,4.43,11.2,5,15,39.1,662.9,316,18.4,434.3,29.8,468.6,251,639.1,421.5
TheLoch,1876,7.83,0.55,16.62,-23.58,4.16,7.1,4.7,12.8,34.2,617.5,267.8,16.8,330.5,24,375.4,215.9,511.4,351.9
TheLoch,1885,7.83,0.53,17.28,-23.36,4.31,7.2,2.5,17.3,41.9,801.3,303.1,20.7,413.4,24.4,361.6,248.8,516.3,403.5
TheLoch,1902,7.9,0.53,17.5,-23.63,4.02,5.5,2.5,7.9,36.2,639,249.1,16.1,353.9,27.3,342.8,172.1,480.7,310
TheLoch,1919,6.85,0.48,16.52,-23.59,4.39,6.5,3.9,16.3,38.3,784.4,284.2,19.6,413.8,36.1,405.8,239.4,566.8,400.4
TheLoch,1927,7.57,0.54,16.3,-23.51,4.23,7.9,4.6,14.1,32.7,690.3,254.5,16,331.2,26,365.7,180.8,510.5,325.6
TheLoch,1944,7.55,0.52,16.87,-23.77,4.05,7.2,5.5,18.4,34.6,635.9,248.9,17.9,237.9,22.6,384.7,226.8,538.2,380.3
TheLoch,1948,7.69,0.54,16.59,-23.82,3.93,23.5,6.6,16.8,32.2,620.9,260.7,17.9,343.2,29.7,444.5,223.1,624.5,403.1
TheLoch,1952,7.9,0.56,16.52,-23.73,3.87,21.4,10.7,17,32.6,601.4,258,17.8,357,32.4,440.8,193,616.2,368.4
TheLoch,1957,7.2,0.51,16.58,-23.66,3.68,41.9,9.9,22.3,34.4,545.4,261.1,21.4,367,26.6,514.4,261,764.4,511
TheLoch,1961,7.84,0.58,15.72,-23.65,3.41,54.2,13.3,27,35.1,492,252.8,23.9,230,20.1,467.9,258,774.7,564.8
TheLoch,1965,8.38,0.56,17.34,-23.84,3.37,39.2,9.5,21.4,33.9,480.3,237.7,21.2,281.5,22.8,454.5,234.9,687.1,467.5
TheLoch,1969,6.81,0.54,14.71,-23.5,3.43,58.7,15.6,28.6,36.4,524.7,269.8,47.9,336.2,26.4,581.1,300.2,905.5,624.6
TheLoch,1974,6.95,0.51,16.03,-23.78,3.5,44.2,12.5,26.6,36,466.7,258.2,27.7,310.2,28.2,536.5,278.4,837.8,579.7
TheLoch,1978,7.39,0.59,14.52,-23.47,3.26,95.1,15.9,38.3,45.2,517.1,333.1,35.9,307.9,42.3,764.7,417.5,1336.8,989.6
TheLoch,1982,7.05,0.6,13.63,-23.61,3.31,112,21.7,59.9,52,608.7,349.2,37,320.3,39,767.4,451.7,1342.9,1027.2
TheLoch,1986,7.3,0.62,13.71,-23.52,3.27,114.7,11.2,54.6,50.5,578.3,347.6,38.7,329.8,37.4,845.5,458.5,1474.7,1087.7
TheLoch,1991,7.12,0.65,12.73,-23.29,2.98,288.5,29.3,108.9,63.8,537.6,357,40.3,299.4,28.2,1027.4,544.1,2105.6,1622.3
TheLoch,1995,7.91,0.71,12.99,-23.29,2.9,158,21.8,109.5,42.1,442.3,328.8,37.2,387.7,38.6,891.8,471.7,1646.8,1226.7
TheLoch,1999,8.29,0.75,12.8,-23.28,2.8,209.8,24,108,49.9,505,308.4,35.2,333.2,42,800.2,429.6,1640.1,1269.5
TheLoch,2003,7.73,0.71,12.68,-23.22,2.86,203,23.9,72.9,52.1,514,352,37.4,403.7,54.4,899.6,445.7,1785.9,1332
TheLoch,2008,8.01,0.73,12.75,-23.43,2.87,219.3,28.9,88.7,71.3,674.6,372.8,56.7,428.3,28.7,969.7,513.6,1899.5,1443.4
TheLoch,2012,8.53,0.8,12.45,-23.35,3.02,242.7,20.2,84.4,64.3,590.2,341.6,39,395.7,43.4,1001.4,416.5,2051.4,1466.5
