lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,diadino,sudan,myxo,allo,diato,lutein,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,phaeo_B,pheo_A,B-car
SkyPond,11,SPDC_011,2.00,2.20,2-2.2,0,0,0,8.096422164,0,0,0,0,0,2.596251344,1916.631,0,3.680467465,7.608900349,12.62454857,1.80265383,2.823615032,0,36.87596344,7.864612093,0.670511634,30.6024945,34.49929198,7.448182945
SkyPond,12,SPDC_012,2.20,2.40,2.2-2.4,0,0,0,6.099925376,0,0,0.166062415,0,0,1.894127038,1847.7464,0,2.447984586,6.275118491,11.84498721,1.346977253,2.528193972,0,32.24258374,6.720109502,0.572935009,30.44575466,31.78641805,7.962986611
SkyPond,13,SPDC_013,2.40,2.60,2.4-2.6,0,0,0,4.997293835,0,0,0.373481708,0,0,3.471150432,1680.5435,0,4.071903227,6.763119748,10.64865445,1.579433004,2.374627441,0,27.63162029,5.150995965,0.697485307,33.48197819,30.94765728,7.739952767
SkyPond,14,SPDC_014,2.60,2.80,2.6-2.8,0,0,0,4.34574137,0,0,0.052714279,0,0,2.849680985,1728.1605,0,2.898420386,6.015152459,12.19241833,1.443724559,2.248922123,0,24.45163236,5.013611878,0.678882423,30.80685416,28.47258508,5.612304149
SkyPond,15,SPDC_015,2.80,3.00,2.8-3,0,0,0,3.949457822,0,0,0.408706611,0,0,3.577592499,1749.411,0,2.768019271,5.98370306,13.3603158,1.658183863,2.890843899,0,23.01073479,5.16092044,0.440003544,40.10162338,29.16293118,7.56256524
SkyPond,16,SPDC_016,3.00,3.20,3-3.2,0,0,0,6.588920998,0,0,0.140515475,0,0,3.234886613,1588.531,0,3.246432411,6.069812924,13.77697707,1.355708117,1.771551715,0,19.55459551,4.007915947,1.025106225,36.53988191,30.24626696,6.813668221
SkyPond,17,SPDC_017,3.20,3.40,3.2-3.4,0,0,0,5.659021864,0,0,0.206551341,0,0,2.128874016,1675.2384,0,2.343129803,5.244740105,12.70345826,1.064641835,0.860011247,0,15.20878097,3.879832291,0.525359762,31.84948515,16.9190284,7.100877331
SkyPond,18,SPDC_018,3.40,3.60,3.4-3.6,0,0,0,4.093543192,0,0,0.580416134,0,0,1.857263974,1534.302,0,1.728320008,5.018871276,12.82633577,0.634269835,1.25037392,0,11.07460629,3.020675162,0.579449448,33.87411031,32.73827745,4.423105443
SkyPond,19,SPDC_019,3.60,3.80,3.6-3.8,0,0,0,3.368692671,0,0,0.19732786,0,0,1.717299501,1452.546,0,1.264645138,5.75370866,13.12800755,0.48434722,1.002605274,0,9.480787465,3.301601226,1.318663886,22.43448883,22.77591246,3.870263484
SkyPond,20,SPDC_020,3.80,4.00,3.8-4,0,0,0,3.119237723,0,0,0.132136341,0,0,1.869752194,1431.654678,0,0.942253513,5.896706343,10.53723719,0.343401093,1.252738416,0,9.569306085,2.212920438,0.636749464,17.93445541,18.51644561,3.364621186
SkyPond,21,SPDC_021,4.00,4.20,4-4.2,0,0,0,2.17764601,0,0,0.203629658,0,0,2.022775229,1522.058427,0,1.178797458,6.554346781,9.286883394,0.278366182,0.487076817,0,9.92000337,3.286844167,0.51085205,13.32076902,17.9582999,3.132159415
SkyPond,22,SPDC_022,4.20,4.40,4.2-4.4,0,0,0,2.007270101,0,0,0.046860858,0,0,0.914597195,1536.737604,0,1.469076462,6.844298463,6.219977103,0.205304607,0.27787373,0,9.347551209,3.381172229,0.921780985,15.23441594,18.37078811,3.939576943
