"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1929.08	2	59	-19.1	-5.2
	1929.17	3	126	-10.6	2.4
	1929.25	4	69	-8	5.6
	1929.33	5	55	-3.6	12.1
	1929.42	6	18	0.4	18.8
	1929.5	7	66	4.2	19.8
	1929.58	8	78	4.9	20.1
	1929.67	9	63	-0.7	14.1
	1929.75	10	59	-4.9	9.6
	1929.83	11	75	-15.5	-3.1
	1929.92	12	40	-12.8	0.5
	1930	1	72	-22	-7.5
	1930.08	2	52	-9.1	3.3
	1930.17	3	75	-13.5	1
	1930.25	4	52	-4.2	11.3
	1930.33	5	76	-4.3	10.2
	1930.42	6	25	0.7	19.8
	1930.5	7	66	4.2	20
	1930.58	8	107	4.3	19.1
	1930.67	9	40	-0.7	16.6
	1930.75	10	40	-5.2	8.6
	1930.83	11	78	-12.3	1.7
	1930.92	12	40	-16.7	-3
	1931	1	15	-14.1	-0.8
	1931.08	2	74	-11.3	1.3
	1931.17	3	77	-13.1	1.6
	1931.25	4	66	-7.4	8
	1931.33	5	73	-4	10.5
	1931.42	6	48	2.5	19.8
	1931.5	7	48	3.8	21.6
	1931.58	8	40	3.6	19.3
	1931.67	9	34	1.7	17.8
	1931.75	10	46	-3.4	9.6
	1931.83	11	71	-13	0.5
	1931.92	12	32	-15.1	-2
	1932	1	42	-16.6	-4.9
	1932.08	2	68	-10.8	2.5
	1932.17	3	119	-14.3	-0.3
	1932.25	4	77	-6.5	8.8
	1932.33	5	48	-2.4	13.3
	1932.42	6	31	0.8	17
	1932.5	7	60	4.3	20.8
	1932.58	8	48	4.2	20.4
	1932.67	9	13	-1	17.2
	1932.75	10	52	-5.5	7.7
	1932.83	11	58	-9.3	3
	1932.92	12	58	-19.2	-6.7
	1933	1	32	-13.1	-0.9
	1933.08	2	44	-17.9	-3.8
	1933.17	3	79	-9.3	5.4
	1933.25	4	145	-9.1	5
	1933.33	5	91	-4	10.6
	1933.42	6	10	2.9	21.3
	1933.5	7	44	4.5	21.1
	1933.58	8	59	3.3	18.9
	1933.67	9	63	2	18.4
	1933.75	10	11	-4.4	12.4
	1933.83	11	38	-9	4.1
	1933.92	12	69	-9.9	1.6
	1934	1	26	-12.5	-0.1
	1934.08	2	99	-10.6	2
	1934.17	3	72	-9	6.1
	1934.25	4	65	-6.1	9.4
	1934.33	5	88	-0.7	16.3
	1934.42	6	33	1	18.9
	1934.5	7	40	4.7	22.3
	1934.58	8	42	4.8	21
	1934.67	9	40	-2.2	15.4
	1934.75	10	11	-3.1	12.6
	1934.83	11	68	-8.7	2
	1934.92	12	47	-13.6	-1.2
	1935	1	31	-13.3	1.2
	1935.08	2	44	-13.7	1.3
	1935.17	3	51	-10.4	4
	1935.25	4	102	-6.8	6.1
	1935.33	5	125	-3.5	8.5
	1935.42	6	22	0.4	19.3
	1935.5	7	57	3.7	20.9
	1935.58	8	43	4.8	20.7
	1935.67	9	50	-0.4	16.5
	1935.75	10	57	-5.4	8.3
	1935.83	11	61	-11	0
	1935.92	12	27	-15	-0.9
	1936	1	59	-13.4	-3.2
	1936.08	2	97	-15.2	-2.2
	1936.17	3	93	-11.2	4.4
	1936.25	4	52	-6.6	8.3
	1936.33	5	51	-1.9	15.1
	1936.42	6	39	2.8	19.5
	1936.5	7	61	4.4	21.3
	1936.58	8	69	4.6	20.2
	1936.67	9	43	-0.5	16.5
	1936.75	10	53	-4.9	7.2
	1936.83	11	34	-11.8	3
	1936.92	12	52	-13.3	-2.2
	1937	1	44	-21.5	-8
	1937.08	2	68	-13.4	-0.1
	1937.17	3	67	-11.3	3
	1937.25	4	65	-7.7	7.5
	1937.33	5	49	-1.9	13.3
	1937.42	6	68	0.9	16.8
	1937.5	7	61	3.8	19.9
	1937.58	8	36	4.1	21.7
	1937.67	9	19	0.7	16.8
	1937.75	10	40	-3.3	9.5
	1937.83	11	80	-10.1	1.3
	1937.92	12	81	-13.5	-1.4
	1938	1	56	-13.8	-1.7
	1938.08	2	43	-13.2	0.9
	1938.17	3	103	-8.9	4.4
	1938.25	4	105	-8.1	8.3
	1938.33	5	91	-2.5	10.7
	1938.42	6	46	1.9	19
	1938.5	7	50	2.4	20.4
	1938.58	8	60	5.2	21.7
	1938.67	9	103	1.8	16.5
	1938.75	10	36	-4.3	11.4
	1938.83	11	86	-13.7	-2.2
	1938.92	12	69	-13.5	-1.5
	1939	1	63	-13	-2.1
	1939.08	2	69	-16.1	-4.7
	1939.17	3	85	-10.4	5.1
	1939.25	4	60	-6	8.1
	1939.33	5	47	-2.5	14.1
	1939.42	6	22	0.5	17.7
	1939.5	7	20	3.4	22.2
	1939.58	8	29	3.2	19.9
	1939.67	9	30	2.2	17.4
	1939.75	10	38	-5.4	9.4
	1939.83	11	29	-10.7	4.7
	1939.92	12	39	-10.8	1.5
	1940	1	83	-15.8	-5.7
	1940.08	2	64	-11.3	0.3
	1940.17	3	80	-9.4	5.6
	1940.25	4	76	-6.7	7.8
	1940.33	5	65	-2.3	14.5
	1940.42	6	22	1.7	20.2
	1940.5	7	69	4.5	20.9
	1940.58	8	39	3.3	20.7
	1940.67	9	103	3.2	16.2
	1940.75	10	34	-4.3	11.5
	1940.83	11	69	-12.2	-0.4
	1940.92	12	44	-12.2	-0.1
	1941	1	57	-14.2	-1
	1941.08	2	45	-12	1.8
	1941.17	3	101	-11	2.1
	1941.25	4	119	-6.9	5.7
	1941.33	5	51	-1.6	14.6
	1941.42	6	53	0.6	16.6
	1941.5	7	56	2.8	20.7
	1941.58	8	73	3.8	19.7
	1941.67	9	50	-0.9	14.8
	1941.75	10	74	-3.5	8.4
	1941.83	11	62	-11.3	3.5
	1941.92	12	61	-13.7	-0.7
	1942	1	62	-17.7	-3.4
	1942.08	2	76	-18.6	-4.3
	1942.17	3	65	-12.2	2.2
	1942.25	4	178	-5.6	9.5
	1942.33	5	52	-4.2	12.2
	1942.42	6	58	1.2	17.9
	1942.5	7	47	3	21
	1942.58	8	30	3.7	21
	1942.67	9	32	-0.7	16.5
	1942.75	10	114	-3.7	9.1
	1942.83	11	70	-10.3	3.2
	1942.92	12	51	-12.9	-1
	1943	1	41	-14	-0.6
	1943.08	2	51	-12.4	2.9
	1943.17	3	87	-13.3	1.6
	1943.25	4	53	-3.6	12.2
	1943.33	5	117	-3.7	10
	1943.42	6	41	0.8	18.1
	1943.5	7	36	3.4	22
	1943.58	8	57	5.4	20.8
	1943.67	9	10	-1.6	18
	1943.75	10	23	-4.4	10.3
	1943.83	11	58	-10.6	2.7
	1943.92	12	42	-13.1	-1.1
	1944	1	51	-15.9	-1.3
	1944.08	2	49	-13.8	-0.3
	1944.17	3	111	-11.6	1.1
	1944.25	4	131	-8.6	5.5
	1944.33	5	69	-2.8	13.5
	1944.42	6	29	0.8	18.5
	1944.5	7	54	2.4	20.1
	1944.58	8	20	3.5	22.1
	1944.67	9	7	-0.7	17.7
	1944.75	10	31	-3.9	11.2
	1944.83	11	59	-10.2	1.4
	1944.92	12	49	-15.6	-1.5
	1945	1	61	-12.5	-1.1
	1945.08	2	70	-12.3	0
	1945.17	3	70	-12.1	4.4
	1945.25	4	117	-9.1	4.2
	1945.33	5	81	-2.1	13.9
	1945.42	6	60	-0.2	15.3
	1945.5	7	68	3.2	21.5
	1945.58	8	96	4.8	20.1
	1945.67	9	46	-1.5	15.8
	1945.75	10	52	-3.9	10.9
	1945.83	11	68	-10.5	1
	1945.92	12	60	-14.5	-3.2
	1946	1	47	-15.2	-0.6
	1946.08	2	37	-13.4	1.3
	1946.17	3	62	-7.9	7.1
	1946.25	4	49	-4.7	11.3
	1946.33	5	78	-4	9.1
	1946.42	6	32	0.9	19.9
	1946.5	7	63	4.1	21.5
	1946.58	8	58	4.4	20.3
	1946.67	9	33	-0.5	17.4
	1946.75	10	71	-4.8	6.7
	1946.83	11	118	-11.8	0.9
	1946.92	12	28	-11	0.5
	1947	1	54	-15.7	-2.5
	1947.08	2	76	-13.4	-0.2
	1947.17	3	93	-11.2	2.5
	1947.25	4	73	-7.5	6.2
	1947.33	5	84	-2.2	13.6
	1947.42	6	98	0.1	15.8
	1947.5	7	50	3.4	21.7
	1947.58	8	53	6.1	21.6
	1947.67	9	35	1.1	18.3
	1947.75	10	86	-2.1	11.3
	1947.83	11	77	-13.4	-2.2
	1947.92	12	50	-13.6	-0.7
