SITE,TYPE,YEAR,MONTH,DAY,DATE,TEMP,FLDCOND,LABCOND,FLDPH,LABPH,ANC,CA,MG,NA,K,NH4,NH4_NREL,SO4,NO3,NO3_NREL,PO4,CL,F,SiO2,AL,FE,MN,LAB,DOC,TDN,NH4 calc,NO3 calc,TIN,TDN calc,DON,PO4_NREL,PO4_NREL calc,TP_NREL,TP_NREL calc,DOP,TP_HSWL,CHL_A
ANDREWS.CRK,NORMAL,1988,8,23,8/23/88,,7.1,8.2,6.5,6.6,32,0.81,0.12,0.33,0.1,0.01,,0.95,0.71,,0.01,0.06,0.05,1.716,23,12,<1,USGS,0.5,,0.01,0.71,0.168022818,,,,,,,,,
ANDREWS.CRK,NORMAL,1988,10,8,10/8/88,3,12.4,11.4,6.4,6.7,36.6,1.1,0.16,0.48,0.15,<0.01,,1.5,1.06,,0.02,0.09,0.06,2.3,13,<10,1,USGS,0.5,,0.005,1.06,0.243153621,,,,,,,,,
ANDREWS.CRK,NORMAL,1989,8,29,8/29/89,,12,,6.2,,,,,,,,,,,,,,,,,,,USGS,,,,,,,,,,,,,,
ANDREWS.CRK,NORMAL,1989,10,24,10/24/89,,13.2,12.1,6.5,6.6,37.6,1.3,0.19,0.57,0.16,<0.01,,1.6,1.29,,<0.003,0.11,0.08,2.5,7,<10,1,USGS,,,0.005,1.29,0.295072357,,,,,,,,,
ANDREWS.CRK,NORMAL,1990,6,26,6/26/90,,9.6,10.3,6.2,6.5,23.8,1.2,0.17,0.4,0.14,0.01,,1.2,1.51,,<0.003,0.1,0.06,1.9,20,<10,1,USGS,0.9,,0.01,1.51,0.348609726,,,,,,,,,
ANDREWS.CRK,NORMAL,1990,7,17,7/17/90,4,8.9,8.9,6.2,6.5,29.2,0.95,0.14,0.3,0.12,<0.01,,1.1,1.11,,<0.003,0.08,0.06,1.8,17,<10,1,USGS,0.5,,0.005,1.11,0.254440303,,,,,,,,,
ANDREWS.CRK,NORMAL,1990,8,21,8/21/90,8,,,6.3,,,,,,,,,,,,,,,,,,,USGS,,,,,,,,,,,,,,
ANDREWS.CRK,NORMAL,1990,9,18,9/18/90,,,10.9,6.4,6.6,33.8,1.1,0.16,0.5,0.11,<0.01,,1.4,1.37,,<0.003,0.09,0.07,2.2,5,<10,1,USGS,0.4,,0.005,1.37,0.313131048,,,,,,,,,
ANDREWS.CRK,NORMAL,1990,10,16,10/16/90,3,12,12.6,6.7,6.8,35,1.3,0.19,0.5,0.15,<0.01,,1.7,1.64,,<0.003,0.13,0.08,2.5,8,<10,1,USGS,0.6,,0.005,1.64,0.374079129,,,,,,,,,
ANDREWS.CRK,NORMAL,1991,6,18,6/18/91,5,9,10.6,6.5,8,,1.2,0.18,0.5,0.17,0.01,,1.3,1.46,,<0.003,0.14,0.05,1.9,20,10,1,USGS,0.5,,0.01,1.46,0.337323044,,,,,,,,,
