lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,percC,sample,percN,CN,del13C,del15N,chlide_a,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,viola,diadino,sudan,myxo,allo,diato,lutein,zea,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,isoren,phaeo_b,pheo_a,a_car,b_car,car_x,car_y,car_z
SkyPond,50,SPDC_050,9.8,10,9.8-10,4.39,SPC 1 50,0.41,10.43,-25.2,5.1,0,0,0,0,48.83987236,0,0,0,0,0,0,0,1681.96521,0,63.05538694,159.2913347,168.5588039,0,0.405771332,4.664276109,0,109.1373219,128.4753255,30.18322546,0,417.4273454,480.4838685,0,105.64308,0,0,0
SkyPond,52,SPDC_052,10.2,10.4,10.2-10.4,4.31,SPC 1 52,0.48,10.43,-25.5,4.4,0,0,0,0,62.13327851,0,0,1.166644658,0,0,0,0,1581.808796,0,85.90344353,181.7422684,156.6403752,0,3.483266845,0.927889069,0,109.5203542,130.8635379,29.01760433,0,466.8878432,480.4054832,0,127.5486086,0,0,0
SkyPond,54,SPDC_054,10.6,10.8,10.6-10.8,4.05,SPC 1 54,0.49,9.71,-25.6,4.6,0,0,0,0,66.37390233,0,0,1.624098633,0,0,0,0,1566.11509,0,74.57034121,179.3985633,201.3968682,0,2.616559358,18.44317677,0,143.4682253,154.8925962,34.26345321,0,579.6622587,615.8928071,0,123.8929624,0,0,0
SkyPond,56,SPDC_056,11,11.2,11-11.2,4.35,SPC 1 56,0.50,10.05,-25.4,4.8,0,0,0,0,55.61827475,0,0,0.717349823,0,0,0,0,1573.447124,0,53.36993103,130.444565,191.4572932,0,3.194710047,9.947112901,0,158.4047452,128.4523708,17.16635249,0,536.5951945,533.4848917,0,121.5617761,0,0,0
SkyPond,58,SPDC_058,11.4,11.6,11.4-11.6,4.42,SPC 1 58,0.47,10.07,-25.8,4.4,0,0,0,0,48.1929984,0,0,3.467763116,0,0,0,0,1577.874162,0,75.34623148,175.5066759,200.0427893,0,4.200349801,6.219025238,0,151.8739189,135.338044,17.47033895,0,561.2620001,612.584532,0,143.7716425,0,0,0
SkyPond,60,SPDC_060,11.8,13,11.8-13,4.28,SPC 1 60,0.52,9.69,-25.9,4.7,0,0,0,0,81.35999147,0,0,0.35682325,0,0,0,0,1690.31934,0,84.72156236,244.0323097,180.766913,0,0.842066376,4.060850142,0,200.8301016,160.6342649,25.00997691,0,415.0497327,548.3521223,0,127.3144102,0,0,0
SkyPond,65,SPDC_065,13,13.2,13-13.2,4.13,SPC 1 65,0.49,9.78,-26.1,4.8,0,0,0,0,76.38220391,0,0,6.104114002,0,0,0,0,1626.43726,0,99.40417816,248.0165077,147.7098969,0,3.417097385,0,0,161.2462325,141.5935545,21.02320868,0,322.924685,487.6044121,0,108.2010152,0,0,0
SkyPond,67,SPDC_067,13.4,13.6,13.4-13.6,4.35,SPC 1 67,0.43,9.69,-26.2,5.2,0,0,0,0,53.6631236,0,0,4.078440613,0,0,0,0,1546.33728,0,68.46942403,150.171816,166.1582459,0,3.243882122,0,0,125.9768694,136.072921,19.85395129,0,341.0223432,483.2681522,0,50.33313634,0,0,0
SkyPond,69,SPDC_069,13.8,14,13.8-14,4.38,SPC 1 69,0.52,9.87,-25.8,4.1,0,0,0,0,35.28533838,0,0,5.538341454,0,0,0,0,1599.72864,0,51.12568384,118.4510952,171.8816398,0,5.276950517,0,0,116.2655175,127.1514327,18.40594804,0,343.3492406,421.1627422,0,46.1720795,0,0,0
SkyPond,71,SPDC_071,14.2,14.4,14.2-14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622.3457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
